Electrode,Cluster,Start_ms,End_ms,Duration_ms,Num_Spikes,RS,Method
microVIM_L_3_CommonFiltered,3,357145.23136,357191.02464,45.793280000041705,3,3.771511236202228,RankSurprise
microVIM_L_3_CommonFiltered,3,358173.61408,358385.58208,211.96799999999348,8,8.315900727648113,RankSurprise
microVIM_L_3_CommonFiltered,3,366807.2448,367465.59488,658.3500800000038,11,5.05125377707638,RankSurprise
microVIM_L_3_CommonFiltered,3,371436.3392,371781.79584,345.4566399999894,7,4.354373573045406,RankSurprise
microVIM_L_3_CommonFiltered,3,372752.71168,372916.55168,163.8399999999674,5,4.224573134587629,RankSurprise
microVIM_L_3_CommonFiltered,3,374615.49056,374651.904,36.4134399999748,3,4.155251324459146,RankSurprise
microVIM_L_3_CommonFiltered,3,379088.11776,379293.9008,205.78304000000935,5,3.5965473546379236,RankSurprise
microVIM_L_3_CommonFiltered,3,391573.95456,391613.35808,39.40351999999257,4,6.7346135985135085,RankSurprise
microVIM_L_3_CommonFiltered,3,393551.54432,393737.25696,185.71264000004157,5,3.6538124037089617,RankSurprise
microVIM_L_3_CommonFiltered,3,394160.70144,394361.77408,201.0726400000276,7,6.848356760851594,RankSurprise
microVIM_L_3_CommonFiltered,3,412372.21376,412409.0368,36.823039999988396,3,4.123378083714636,RankSurprise
microVIM_L_3_CommonFiltered,4,31112.43776,31268.08576,155.64800000000105,4,3.96814267416579,RankSurprise
microVIM_L_3_CommonFiltered,4,39564.82048,39701.62688,136.8064000000013,4,4.34560396526776,RankSurprise
microVIM_L_3_CommonFiltered,4,57177.088,57230.25408,53.16607999999542,3,4.376081863808189,RankSurprise
microVIM_L_3_CommonFiltered,4,63023.67744,63148.032,124.35455999999976,4,4.7646115932970226,RankSurprise
microVIM_L_3_CommonFiltered,4,65947.07456,66023.66976,76.59520000001066,3,3.590369244416836,RankSurprise
microVIM_L_3_CommonFiltered,4,68775.85408,68851.13856,75.28448000000208,4,6.112325582310422,RankSurprise
microVIM_L_3_CommonFiltered,4,72778.09664,72903.80288,125.70623999999953,4,4.638806628172979,RankSurprise
microVIM_L_3_CommonFiltered,4,75889.0496,76277.67808,388.6284799999994,7,5.854579331248018,RankSurprise
microVIM_L_3_CommonFiltered,4,90858.86464,90995.83488,136.9702399999951,5,6.557197588636043,RankSurprise
microVIM_L_3_CommonFiltered,4,99321.20064,99333.40672,12.206080000003567,3,7.204682746062199,RankSurprise
microVIM_L_3_CommonFiltered,4,140299.10016,140463.14496,164.0448000000033,4,3.7772990050631634,RankSurprise
microVIM_L_3_CommonFiltered,4,141946.59328,141989.51936,42.92608000000473,3,4.678546021764603,RankSurprise
microVIM_L_3_CommonFiltered,4,145176.90368,145336.48384,159.58016000001226,5,6.011523289274585,RankSurprise
microVIM_L_3_CommonFiltered,4,153863.45472,153871.68768,8.23295999999391,3,7.773267203980382,RankSurprise
microVIM_L_3_CommonFiltered,4,154264.49408,155081.3184,816.8243199999852,9,4.408545432198044,RankSurprise
microVIM_L_3_CommonFiltered,4,157363.85536,157425.17248,61.31712000002153,3,4.035812108919973,RankSurprise
microVIM_L_3_CommonFiltered,4,159973.5808,160241.13152,267.5507199999993,7,7.677959899249245,RankSurprise
microVIM_L_3_CommonFiltered,4,171379.75296,171413.0944,33.341439999989234,3,5.240357200263462,RankSurprise
microVIM_L_3_CommonFiltered,4,172808.88832,173269.97504,461.08671999999206,7,4.66153586624338,RankSurprise
microVIM_L_3_CommonFiltered,4,175356.84608,175750.144,393.2979200000118,8,7.205494916747972,RankSurprise
microVIM_L_3_CommonFiltered,4,181874.81088,182087.43424,212.62335999999777,5,4.902167709109559,RankSurprise
microVIM_L_3_CommonFiltered,4,182898.72896,184218.37824,1319.6492799999833,12,5.018826821953937,RankSurprise
microVIM_L_3_CommonFiltered,4,187396.79232,187659.14112,262.3487999999779,5,4.19536956629323,RankSurprise
microVIM_L_3_CommonFiltered,4,188418.70336,188861.52192,442.81855999998515,6,3.97527909991517,RankSurprise
